subject	phase	exponent_grad	theta_band_power_grad	alpha_band_power_grad	alpha_peak_freq_grad	beta_band_power_grad	beta_peak_freq_grad
CC420231	p2	1.125403729369887	0.3797807317827431	0.8833778912237485	9.14488309595198	0.6718428889164184	14.657531421177932
CC420241	p2	1.016732531495889	0.3368237882884776	0.8962546443892065	9.805729985032803	0.5244752041537344	20.463590650410037
CC420259	p2	0.8547348432119521	0.2160139630854972	0.8427097983110271	9.008618245069126	0.2871568215349575	19.640108816399238
CC420286	p2	0.792459089656919	0.3952347838195506	1.1522485174120085	8.768972432836504	0.5626970316225476	18.31881739331804
CC420348	p2	0.7669572645948305	0.1828848662227748	0.7150364170414795	9.603666268786784	0.4483088945336003	22.085969040800013
CC420392	p2	0.938485108622686	0.288757383237089	0.9750354663026412	10.068563318210426	0.5038130229935354	16.07352909844471
CC420396	p2	0.8581434597489376	0.566477123288903	1.4984079669168011	9.272517588358614	0.5657751027723327	20.165275786492625
CC420433	p2	0.9731241619917882	0.5150591706435058	1.1966600721709082	8.307764189841311	0.5096050398759014	20.19988724562252
CC420589	p2	0.8782645449043261	0.4082963945967526	1.1294996540764748	10.17693030060441	0.4187919499124382	16.42000158396853
CC510237	p2	1.2304680900180218	0.3954841668906347	1.0655278713677565	8.810300979921285	0.5121746032978322	16.100369120683414
CC510256	p2	1.1578090995787886	0.2603549783248515	0.6601387622627897	8.579643680432444	0.3136240291657442	19.063254437221875
CC510329	p2	0.9004757151485311	0.6353236979528047	1.2802148650114695	9.099062428149647	0.4603754613683298	17.9835855390669
CC510392	p2	1.006119926793119	0.5542872447687599	0.658443649767896	9.714107434495425	0.4795776990428709	15.213206742341134
CC510433	p2	0.8068412266292498	0.3464796892938488	0.4584410149241418	8.938301878691595	0.4569746078508679	21.7995869456368
CC510438	p2	0.763253683661877	0.6493904810271129	0.7971356364776152	8.853638451605542	0.5830147676243119	16.359799151115997
CC510548	p2	0.8283604729740827	0.1634605187947886	0.3112526170708902	8.829412940978843	0.2843252474656536	19.1871182757953
CC510609	p2	0.6105412081972763	0.4680536211412758	0.7545777350656652	9.885106999214091	0.8746553547476026	15.427819036323765
CC510639	p2	0.7031863196608475	0.2454655919783014	0.7409580735017459	9.764427302406489	0.5844177953796011	22.33165668069779
CC510648	p2	0.938408808332066	0.7366412795826157	1.2593836272590933	9.008272562391891	0.5101776604948356	16.66761143253623
CC512003	p2	1.067099368657982	0.4284249809774547	0.8986907700774701	9.206703169894103	0.5250184791296172	18.697598082489648
CC520055	p2	0.7804118315699305	0.3662714883713499	1.0980642745342544	9.628729033085438	0.6447068552305265	17.672724957144148
CC520065	p2	0.7403766826150323	0.4670435870603347	0.5599291523243646	9.354566221681525	0.7706375520602842	18.31275955183549
CC520076	p2	0.8386607613975081	0.3162603451962281	0.8162152528298999	8.737533912798044	0.5148154003611746	15.298145917260644
CC520134	p2	0.866251851021456	0.6392078508566215	0.7682932481990649	9.78178508495892	0.603703161540558	16.737828312916935
CC520136	p2	0.8920241547770604	0.3862805842409364	1.009023255345233	9.317184397939608	0.4388498123637815	18.62504830854751
CC520175	p2	1.1336059154413132	0.4693946099667581	0.418019340804958	9.110936667149542	0.4610274381294762	19.854003263899504
CC520209	p2	0.6504847087066834	0.1219877703635998	0.3137034276779917	10.473281717610323	0.4527510477918344	23.126036665058937
CC520254	p2	0.6885583670548571	0.1463205035422214	0.3947905871769129	10.04383037030632	0.5314038340193791	19.79009586273168
CC520390	p2	0.7447855468886146	0.0792499884476142	0.4237377873030017	10.419055204741769	0.4559646527578694	22.441456161456617
CC520477	p2	0.8063163427724525	0.6193137030224294	1.0605752165113602	10.120345976916376	0.5877335021681434	19.406265939685827
CC520480	p2	0.5024725837285593	0.244919789231878	0.7985079983955727	9.975621692942331	0.5403369308413895	19.90051531483629
CC520517	p2	0.8522926223955756	0.1801353739804754	0.6403792282793379	9.18867200605222	0.3657936493340537	19.526121452667223
CC520542	p2	0.7883506370685492	0.3638235052448413	1.2037957665135892	9.610821303790772	0.4637860050626669	20.144137792585333
CC520562	p2	0.8216274393963456	0.308665942174449	1.0583773328993915	9.161743187258836	0.4255260755534159	18.13618910982964
CC520589	p2	0.7966281241335125	0.1373275238976148	0.2320717310593523	9.882828628330603	0.337224440992307	23.20637793578088
CC520669	p2	0.8461183087620988	0.3188299701325371	0.7009058128171682	9.66295558012977	0.4841374111843876	17.9940232778906
CC520712	p2	1.1764799509629935	0.5211681092173317	0.8686105227321402	8.568127791635343	0.4322041177450821	16.529741201555318
CC520980	p2	0.7962202084183032	0.4015719178377973	0.6301686154584353	10.127719002587163	0.5212546896677729	16.955701603230263
CC521040	p2	0.682466347945193	0.1021644652624224	0.8738100199796769	10.885789472606469	0.3441741802844437	21.480499750337074
CC521094	p2	0.686000690198175	0.2439513172827795	0.9116769024845892	9.976299214087248	0.6469964946567176	20.607576473223684
CC521167	p2	0.8582177089985767	0.2279873315169431	1.232338892220272	9.202173301237185	0.7572854876017986	18.24220700622124
CC610051	p2	0.7986962034709184	0.3626876384095701	1.1566641924128005	9.233720312781031	0.4594294867473438	18.82016277914612
CC610099	p2	0.6447254009366431	0.4621574566476567	0.5880473343322495	10.431744732955698	0.4989048133740298	17.292871597748913
CC610308	p2	0.9525831362280444	0.2085404287932626	0.4292820456795684	9.946674209348204	0.4897401420138871	21.950112924574977
CC610392	p2	0.9806223364192728	1.0382989866956067	0.9180410322013608	9.210828462039876	0.7689921415205653	16.075138979188313
CC610405	p2	1.026928187700432	0.1550714176352577	0.6525553472443937	11.076311064302049	0.5238934766351206	19.943987498536437
CC620017	p2	0.7892449623193614	0.762367117339097	0.4367152951164759	9.296177841392574	0.2771333278397742	18.71395551958997
CC620164	p2	0.6632526024547459	0.1899661256427988	0.3649491519226117	10.164696607377188	0.5379478582541046	19.137481068306588
CC620193	p2	0.813553216976442	0.3291696239105285	0.91680765528345	8.974697418455786	0.7012017625606458	17.79160987237293
CC620321	p2	0.998675982806923	0.3151044717671638	0.5606232889081831	9.224724229591716	0.3693808403612917	21.82279975521673
CC620485	p2	0.6199177019619652	0.1618273300308744	0.4943386755415317	9.58366699224564	0.4833998168352165	24.96251587928886
CC620496	p2	0.8307621487276623	0.6593056348179235	1.0147667641774143	9.000710620700252	0.5909355812691887	16.84878946820515
CC620619	p2	0.8753340577609441	0.4798809170348171	1.1345409591310986	9.083528356005123	0.6821357231935272	15.408740813316284
CC620659	p2	0.804511912428002	0.2940154197808214	0.2918765735128268	10.31652114481938	0.5182959182282773	18.28718282462937
CC620785	p2	1.0221891590986556	0.3312320432350883	0.5348804718844452	9.985476754376815	0.441898916144636	17.731608430108267
CC620918	p2	0.6161239287072746	0.1427003439063226	0.2284359774291221	11.221276900117154	0.3711316125156549	22.978468101125063
CC620967	p2	0.6973953161926637	0.2600587764975124	0.8093129550755885	9.00825298979282	0.467979061416574	19.50940881474309
CC621020	p2	0.9351324673831372	0.8784601651337093	1.0340542066432314	8.504226664364797	0.6536595953959452	17.364702972378446
CC621199	p2	0.9311650797145268	0.3760105474658135	0.8916930891527505	8.782661096518455	0.5878915776766271	17.0601553237276
CC621283	p2	0.7083594583619944	0.268051665943279	0.4820256318419094	8.920754732652568	0.5282238229222873	18.86556272428404
CC710088	p2	0.7661140439730271	0.3094583883217957	0.8865678258990753	10.509943756058268	0.7932618095766278	15.288203202782771
CC720103	p2	1.0857422840647215	0.9547710351819548	1.0932846488183796	9.137104288975996	0.4960868286676596	15.82577338128012
CC720718	p2	0.7235448152781819	0.5369118904640859	0.957065936923838	8.653659085462024	0.6505749374248877	18.058489980491785
CC120049	p5	1.024525021199575	0.4706997124922118	1.394624690818092	9.988726266529754	0.557718102853615	19.82434320885442
CC120065	p5	0.8560068136918906	0.1814394005805762	0.8416823365637401	10.433014737723914	0.3872370187364811	17.549102831455635
CC120218	p5	0.5491817665214918	0.1216726228399321	0.6073490386935122	10.548954712290524	0.3290706601242296	21.990474533835155
CC120470	p5	1.2021230022200664	0.4206655482519759	0.5463657997968662	9.20005206169235	0.157389817614348	18.83340271963272
CC120640	p5	0.6116759878341176	0.187555940078088	0.5298948942586067	9.995211176292882	0.3210177100065471	20.19169510063847
CC120795	p5	1.1160181885969287	0.4302989825448582	0.9714090198807948	9.540806161320964	0.4890532978898597	22.34676746140922
CC121428	p5	0.8225026083222801	0.1503815767709071	0.6730608083259753	10.472459044028756	0.260446849410696	21.84564410175352
CC210023	p5	0.576742672133878	0.0857553065558456	0.3228917712273476	10.854169516398944	0.5743760263323595	23.07050545566152
CC210088	p5	0.9469967765934784	0.236613446139326	0.8289250039878011	10.005714473620936	0.4824079328071035	16.785478445045865
CC220107	p5	1.018753567988216	0.6338452663279512	0.9641041254685224	9.000441501029188	0.3162600418481331	16.883274992523802
