theta_peak_freq,Aperiodic_mode,Counts
7.676693124483891,Knee,84
6.927965599800374,Knee,11
7.421177403554779,Knee,79
6.24698385861231,Knee,143
6.548568051025497,Knee,158
6.347992504040876,Knee,80
7.785261242017699,Knee,69
5.88059407736466,Knee,11
7.836139527892076,Knee,154
7.729239301303687,Knee,39
6.23727507252532,Knee,83
6.785015507536604,Knee,108
7.622427090591906,Knee,35
5.0290185055989145,Knee,27
6.959842133549234,Knee,69
6.455477525132587,Knee,161
7.081024816175409,Knee,5
7.704507867780607,Knee,1
5.055465847772968,Knee,13
6.345966060947356,Knee,35
6.444877757826736,Knee,42
6.888112211255445,Knee,121
6.26646099019836,Knee,82
7.236223330797141,Knee,200
4.839793401480133,Knee,38
6.7445923753701456,Knee,202
6.765668130324132,Knee,163
6.3032883876377275,Knee,37
5.744499976888653,Knee,162
5.059407105422167,Knee,12
7.557659703762557,Knee,147
7.450220566317857,Knee,49
7.005331241508414,Knee,41
6.989769540758917,Knee,5
5.168427502268982,Knee,35
4.880111561945615,Knee,31
7.697322996422751,Knee,77
7.515020810780482,Knee,100
7.193337689594089,Knee,3
5.870661979440311,Knee,25
7.234731283370921,Knee,179
7.73049428895578,Knee,120
6.986660930305351,Fixed,178
6.492860737241609,Fixed,99
6.500745989480832,Fixed,59
6.8133801477518325,Fixed,93
6.706935339490327,Fixed,84
6.790952504213993,Fixed,136
6.574900758125009,Fixed,110
6.814547798480942,Fixed,87
6.147050996919352,Fixed,71
6.895056418418161,Fixed,123
6.287179466756392,Fixed,90
7.0844906796861675,Fixed,25
7.400462594500897,Fixed,31
6.838435013277001,Fixed,102
6.257095848003846,Fixed,140
7.160555470358645,Fixed,56
6.789579366861878,Fixed,33
6.160350227078777,Fixed,137
6.770722329101934,Fixed,76
6.337047374011512,Fixed,192
6.275555174876959,Fixed,57
6.850140633202738,Fixed,147
6.576749804074247,Fixed,142
6.565169497782625,Fixed,17
7.377324835012466,Fixed,49
7.167474456162537,Fixed,144
6.206364404593394,Fixed,19
6.100242428701029,Fixed,82
6.890153133569593,Fixed,28
6.4889459511730445,Fixed,113
6.905521432192463,Fixed,113
6.939001629648761,Fixed,49
6.397175400354773,Fixed,157
6.87968898933239,Fixed,39
6.242575666525966,Fixed,107
6.790549900387223,Fixed,81
7.447869764678102,Fixed,92
5.392244682913921,Fixed,163
6.564877565714912,Fixed,161
6.7866451266756584,Fixed,51
6.392689517725744,Fixed,58
6.54061623266306,Fixed,107
6.981930576661486,Fixed,98
6.12050693652025,Fixed,41
7.7421144123595536,Fixed,143
7.196209288857638,Fixed,85
6.7359744409517335,Fixed,170
5.6853291786814735,Fixed,110
7.012576509177095,Fixed,69
6.485986559937189,Fixed,98
6.428190828656226,Fixed,38
6.542393268553111,Fixed,143
6.627433966895184,Fixed,134
7.07681927310583,Fixed,95
7.670599567459318,Fixed,148
7.1219949548772306,Fixed,4
6.533057306927931,Fixed,18
5.780741812081265,Fixed,92
6.223119321974624,Fixed,33
6.165158445737404,Fixed,131
5.686343593124878,Fixed,128
7.258431000195174,Fixed,97
6.055251443133769,Fixed,42
7.027937372036044,Fixed,38
7.483907962376784,Fixed,141
7.499125616372081,Fixed,153
5.5999728612896575,Fixed,161
6.362737204165031,Fixed,47
6.743029361921278,Fixed,62
7.125347039417708,Fixed,115
6.283653847202917,Fixed,64
6.181990586849485,Fixed,124
6.55666523850803,Fixed,34
6.716218661907901,Fixed,33
6.8964354122275795,Fixed,28
6.130873340233263,Fixed,8
7.556991780439492,Fixed,82
6.24790142454586,Fixed,82
7.065132260281303,Fixed,87
6.165296652096403,Fixed,81
6.27241541731988,Fixed,42
6.657796577568011,Fixed,64
6.793293930711181,Fixed,160
6.485516362852933,Fixed,109
7.2340256062995385,Fixed,104
5.792558036048446,Fixed,40
7.044257688251205,Fixed,103
6.860331151301623,Fixed,30
6.855401968533361,Fixed,86
6.9603537837525575,Fixed,110
6.438538092834042,Fixed,29
7.379887670687575,Fixed,138
6.7707665885869295,Fixed,15
7.50316003924888,Fixed,120
6.751833548782703,Fixed,78
6.94266604888268,Fixed,161
5.777532631795049,Fixed,15
7.353200450229673,Fixed,4
6.595837703770476,Fixed,11
7.701971831860515,Fixed,120
6.254138963732068,Fixed,38
6.085556285629752,Fixed,92
6.793366354973745,Fixed,101
7.074425904949652,Fixed,69
5.183118774308405,Fixed,46
7.170313073828845,Fixed,119
6.626197931674904,Fixed,105
7.304622946011752,Fixed,40
6.975188708245016,Fixed,10
7.409671509667068,Fixed,17
6.0194343613452554,Fixed,88
7.342245117567338,Fixed,82
7.854192491299482,Fixed,41
6.27053302595829,Fixed,31
7.505697628147638,Fixed,160
6.1879490559951265,Fixed,38
7.2499192182287535,Fixed,195
6.356610578711589,Fixed,100
6.960206626879969,Fixed,55
5.071470182070588,Fixed,139
6.997875380581741,Fixed,74
7.01642419202894,Fixed,39
6.865759668230452,Fixed,31
7.491436803929733,Fixed,138
6.809705534852988,Fixed,12
6.094307586685712,Fixed,49
5.449902859740935,Fixed,33
